Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
25	4	8	0	1	1	119	167	128	128	128	128	128	128	128	128	0	9	
25	5	8	0	0	1	94	148	128	161	128	161	128	161	128	161	0	8	
25	6	4	0	0	5	126	82	124	116	124	116	124	116	124	116	0	8	
25	7	4	0	0	10	121	94	131	37	131	37	131	37	131	37	0	7	
25	8	2	0	0	25	84	48	130	39	130	39	130	39	130	39	0	6	
25	9	1	0	0	40	122	55	121	190	121	190	121	190	121	190	255	241	
25	16	0	0	199	1	144	222	128	128	128	128	128	128	128	128	0	9	
25	17	0	0	1	1	119	167	128	128	128	128	128	128	128	128	0	9	
25	18	4	0	0	5	126	82	124	116	124	116	124	116	124	116	0	8	
26	0	8	3	231	1	147	215	128	128	128	128	128	128	128	128	0	10	
26	1	8	0	199	1	166	219	128	128	128	128	128	128	128	128	0	9	
26	2	8	0	99	1	140	220	128	128	128	128	128	128	128	128	0	9	
26	3	8	0	9	1	118	207	128	128	128	128	128	128	128	128	0	10	
26	4	8	0	1	1	100	165	128	128	128	128	128	128	128	128	0	9	
26	5	8	0	0	1	105	146	131	157	131	157	131	157	131	157	0	8	
26	6	4	0	0	5	121	80	126	112	126	112	126	112	126	112	0	8	
26	7	4	0	0	10	115	93	125	35	125	35	125	35	125	35	0	7	
26	8	2	0	0	25	100	49	127	34	127	34	127	34	127	34	0	6	
26	9	1	0	0	40	128	82	128	199	128	199	128	199	128	199	255	213	
26	16	0	0	199	1	166	219	128	128	128	128	128	128	128	128	0	9	
26	17	0	0	1	1	100	165	128	128	128	128	128	128	128	128	0	9	
26	18	4	0	0	5	121	80	126	112	126	112	126	112	126	112	0	8	
27	0	8	3	231	1	94	218	128	128	128	128	128	128	128	128	0	10	
27	1	8	0	199	1	101	223	128	128	128	128	128	128	128	128	0	10	
27	2	8	0	99	1	170	222	128	128	128	128	128	128	128	128	0	10	
